SL_NO,Brand,Model,Announced,Audio_jack,Battery,Bluetooth,CPU,Chipset,Colors,Dimensions,Display_type,GPU,Internal_memory,Loud_speaker,Memory_card,Network,Operating_System,Primary_camera,RAM,Radio,SIM,Secondary_camera,Sensors,Status,USB
42,Apple,Watch Edition Series 2 38mm,2016 September,No,Non-removable Li-Ion 273 mAh battery (1.03 Wh),4.0| LE,Dual-core,Apple S2,Sport Band/White,39.2 x 34 x 11.8 mm (1.54 x 1.34 x 0.46 in),AMOLED capacitive touchscreen 16M colors,(undefined),(undefined),Yes,No,No cellular connectivity,watchOS 3.0| upgradable to 3.2.2,(undefined),(undefined),No,No,(undefined),Accelerometer| gyro| heart rate,Available. Released 2016 December,No
43,Apple,iPhone 6s,2015 September,Yes,Non-removable Li-Ion 1715 mAh battery (6.91 Wh),4.2| A2DP| LE,Dual-core 1.84 GHz Twister,Apple A9,Space Gray| Silver| Gold| Rose Gold,138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR GT7600 (six-core graphics),16/32/64/128 GB,Yes,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 9| upgradable to iOS 10.3.2,12 MP| f/2.2| 29mm| phase detection autofocus| dual-LED (dual tone) flash|,2 GB RAM,No,Nano-SIM,5 MP| f/2.2| 31mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer,Available. Released 2015 September,2.0| reversible connector
44,Apple,iPad 2 Wi-Fi + 3G,2011 March. Released 2011 March,Yes,Non-removable Li-Po 6930 mAh battery (25 Wh),2.1| A2DP| EDR,Dual-core 1.0 GHz Cortex-A9,Apple A5,Black| White,241.2 x 185.7 x 8.8 mm (9.50 x 7.31 x 0.35 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX543MP2,16/32/64 GB,Yes,No,GSM / HSPA,iOS 4| upgradable to iOS 9.3.5,0.7 MP,512 MB RAM,No,Micro-SIM,VGA,Accelerometer| gyro| compass,Discontinued,2
45,Apple,iPad 4 Wi-Fi,2012 October,Yes,Non-removable Li-Po 11560 mAh battery (42.5 Wh),4.0| A2DP,Dual-core 1.4 GHz,Apple A6X,Black| White,241.2 x 185.7 x 9.4 mm (9.50 x 7.31 x 0.37 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX554MP4 (quad-core graphics),16/32/64/128 GB,Yes,No,No cellular connectivity,iOS 6| upgradable to iOS 10.3,5 MP| autofocus|,1 GB RAM,No,No,1.2 MP| 720p@30fps| face detection| FaceTime over Wi-Fi,Accelerometer| gyro| compass,Available. Released 2012 November,2.0| reversible connector
46,Apple,iPad 2 CDMA,2011 March. Released 2011 March,Yes,Non-removable Li-Po 6930 mAh battery (25 Wh),2.1| A2DP| EDR,Dual-core 1.0 GHz Cortex-A9,Apple A5,Black| White,241.2 x 185.7 x 8.8 mm (9.50 x 7.31 x 0.35 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX543MP2,16/32/64 GB,Yes,No,CDMA / EVDO,iOS 4| upgradable to iOS 9.2.1,0.7 MP,512 MB RAM,No,Mini-SIM,VGA,Accelerometer| gyro| compass,Discontinued,2
47,Apple,Watch Series 2 Sport 38mm,2016 September,No,Non-removable Li-Ion 273 mAh battery (1.03 Wh),4.0| A2DP,Dual-core,Apple S2,Case colors: silver| gold| rose gold| gray,38.6 x 33.3 x 11.4 mm (1.52 x 1.31 x 0.45 in),AMOLED capacitive touchscreen 16M colors,(undefined),(undefined),Yes,No,No cellular connectivity,watchOS 3.0| upgradable to 3.2.2,(undefined),(undefined),No,No,(undefined),Accelerometer| gyro| heart rate,Available. Released 2016 December,No
48,Apple,iPhone 4 CDMA,2011 January,Yes,Non-removable Li-Po 1420 mAh battery,2.1| A2DP,1.0 GHz Cortex-A8,Apple A4,Black| White,115.2 x 58.6 x 9.3 mm (4.54 x 2.31 x 0.37 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX535,16/32 GB,Yes,No,CDMA / EVDO,iOS 4| upgradable to iOS 7.1.1,5 MP| autofocus| LED flash,512 MB RAM,No,Micro-SIM,Videocalling over Wi-Fi only,Accelerometer| gyro| proximity| compass,Available. Released 2011 February,2
49,Apple,iPad 9.7,2017 March,Yes,Non-removable Li-Ion 8827 mAh battery (32.9 Wh),4.2| A2DP| EDR| LE,Dual-core 1.84 GHz (Twister),Apple A9,Silver| Gold| Space Gray,240 x 169.5 x 7.5 mm (9.45 x 6.67 x 0.30 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,Fi + Cellular model only),PowerVR GT7600 (six-core graphics),32/128 GB,Yes with stereo speakers,(undefined),HSPA 42.2/5.76 Mbps LTE-A Cat4 150/50 Mbps EV-DO Rev.A 3.1 Mbps,iOS 10.3| upgradable to iOS 10.3.2,8 MP| f/2.4| 31mm| autofocus,2 GB RAM,No,Nano-SIM/ Electronic SIM card (e-SIM),1.2 MP| f/2.2| 31mm| 720p@30fps| face detection| HDR| FaceTime over Wi-Fi or Cellular,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,GSM 850 / 900 / 1800 / 1900
50,Apple,iPhone 6s Plus,2015 September,Yes,Non-removable Li-Ion 2750 mAh battery (10.45 Wh),4.2| A2DP| LE,Dual-core 1.84 GHz Twister,Apple A9,Space Gray| Silver| Gold| Rose Gold,158.2 x 77.9 x 7.3 mm (6.23 x 3.07 x 0.29 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR GT7600 (six-core graphics),16/32/64/128 GB,Yes,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 9| upgradable to iOS 10.3.2,12 MP| f/2.2| 29mm| phase detection autofocus| OIS| dual-LED (dual tone) flash|,2 GB RAM,No,Nano-SIM,5 MP| f/2.2| 31mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer,Available. Released 2015 September,2.0| reversible connector
51,Apple,Watch 38mm,2014 September,No,Non-removable Li-Ion 205 mAh battery (0.78 Wh),4.0| LE,520 MHz,Apple S1,Stainless Steel/Red| White| Brown/Black/Blue/Red/Marigold/Jay Buckle| Blue/Stone Leather Loop| Silver/Space Black Milanese Loop| Link Bracelet| Space Black Stainless Steel/Black| Black Link Bracelet| Pearl Woven Nylon,38.6 x 33.3 x 10.5 mm (1.52 x 1.31 x 0.41 in),AMOLED capacitive touchscreen 16M colors,PowerVR SGX543,8 GB,Yes,No,No cellular connectivity,watchOS 1.0| upgradable to 3.2.2,(undefined),512 MB RAM,No,No,(undefined),Accelerometer| gyro| heart rate,Available. Released 2015 May,No
52,Asus,P750,2007 October. Released 2008 April,No,Removable Li-Ion 1300 mAh battery,2.0| A2DP,Marvell PXA270M 520 MHz,(undefined),Black,113 x 58 x 17.4 mm (4.45 x 2.28 x 0.69 in),TFT resistive touchscreen 65K colors,(undefined),256 MB ROM,No,microSD (dedicated slot),GSM / HSPA,Microsoft Windows Mobile 6.0 Professional,3.15 MP| autofocus,64 MB RAM,No,Mini-SIM,VGA videocall camera,(undefined),Discontinued,1.1
53,Asus,Fonepad 7 FE375CL,2015 February,Yes,Non-removable Li-Po battery (15 Wh),4.0| A2DP,Quad-core 1.33 GHz,Intel Atom Z3530,Black| White,194.3 x 108.9 x 9.8 mm (7.65 x 4.29 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,PowerVR G6430,8/16 GB,Yes with stereo speakers,microSD up to 64 GB (dedicated slot),GSM / HSPA / LTE,Android 5.0.1 (Lollipop),5 MP| autofocus,2 GB RAM,No,Micro-SIM,2 MP,Accelerometer| proximity| compass,Available. Released 2015 March,microUSB 2.0| USB Host
54,Asus,Live G500TG,2016 January,Yes,Removable Li-Po 2070 mAh battery,4.0| A2DP| LE,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6580,Rosa| Azul| Yellow,144.5 x 71 x 10 mm (5.69 x 2.80 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,Mali-400MP2,16 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 5.1 (Lollipop),8 MP| f/2.0| autofocus| LED flash,2 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),2 MP| f/2.4,Accelerometer| proximity,Available. Released 2016 February,microUSB 2.0
55,Asus,Zenfone 2 Laser ZE550KL,2015 August,Yes,Removable Li-Po 3000 mAh battery,4.0| A2DP| EDR,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,Black| White| Red| Silver| Gold,152.5 x 77.2 x 10.8 mm (6.00 x 3.04 x 0.43 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,16 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 5.0 (Lollipop)| planned upgrade to 6.0 (Marshmallow),13 MP| f/2.0| laser autofocus| dual-LED (dual tone) flash,2 GB RAM or 32 GB| 3 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),5 MP| f/2.0| autofocus,Accelerometer| gyro| proximity| compass,Available. Released 2015 September,microUSB 2.0
56,Asus,Fonepad 8 FE380CG,2014 June,Yes,Non-removable Li-Po battery (15.2 Wh),4.0| A2DP,Quad-core 1.33 GHz,Intel Atom Z3530,Black| White| Red| Gold,214 x 120 x 8.9 mm (8.43 x 4.72 x 0.35 in),IPS LCD capacitive touchscreen 16M colors,PowerVR G6430,8/16 GB,Yes with stereo speakers,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.4.2 (KitKat),5 MP| autofocus,1/2 GB RAM,No,Dual SIM (Micro-SIM| dual stand-by),2 MP,Accelerometer| proximity| compass,Available. Released 2014 Q3,microUSB 2.0
57,Asus,Transformer Pad Infinity 700,2012 February,Yes,Non-removable Li-Po battery (25 Wh),3.0| A2DP| EDR,Quad-core 1.6 GHz Cortex-A9,Nvidia Tegra 3 T33,Amethyst Gray| Champagne Gold,263 x 180.8 x 8.5 mm (10.35 x 7.12 x 0.33 in),Super IPS+ LCD capacitive touchscreen 16M colors,ULP GeForce,32/64 GB,Yes,microSD up to 32 GB (dedicated slot),No cellular connectivity,Android 4.0 (Ice Cream Sandwich)| upgradable to 4.2.1 (Jelly Bean),8 MP| autofocus| LED flash,1 GB RAM,No,No,2 MP,Accelerometer| gyro| compass,Available. Released 2012 July,2
58,Asus,Zenfone 3 Max ZC553KL,2016 November,Yes,Non-removable Li-Ion 4100 mAh battery,4.1| A2DP| LE,Octa-core 1.4 GHz Cortex-A53,Qualcomm MSM8937 Snapdragon 430,Titanium Gray| Glacier Silver| Rose Pink| Sand Gold,151.4 x 76.2 x 8.3 mm (5.96 x 3.00 x 0.33 in),IPS LCD capacitive touchscreen 16M colors,Adreno 505,32 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0.1 (Marshmallow),16 MP| f/2.0| phase detection & laser autofocus| dual-LED (dual tone) flash,2/3/4 GB RAM,FM radio,Dual SIM (Nano-SIM| dual stand-by),8 MP| f/2.2,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 November,microUSB 2.0| USB On-The-Go
59,Asus,Zenfone 5 A500CG,2014 January,Yes,Non-removable Li-Po 2110 mAh battery,4.0| A2DP| EDR,Dual-core 2.0 GHz,Intel Atom Z2580,Charcoal Black| Pearl White| Cherry Red| Champagne Gold| Twilight Purple,148.2 x 72.8 x 10.3 mm (5.83 x 2.87 x 0.41 in),IPS LCD capacitive touchscreen 16M colors,PowerVR SGX544MP2,8/16/32 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.3 (Jelly Bean)| upgradable to 5.0.2 (Lollipop),8 MP| f/2.0| autofocus| LED flash,2 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),2 MP| f/2.4,Accelerometer| proximity| compass,Available. Released 2014 April,microUSB 2.0
60,Asus,Memo Pad ME172V,2013 January,Yes,Non-removable Li-Po 4270 mAh battery (16 Wh),No,1.0 GHz,VIA WM8950,Sugar White| Titanium Gray| Cherry Pink,196.2 x 119.2 x 11.2 mm (7.72 x 4.69 x 0.44 in),LED-backlit LCD capacitive touchscreen,Mali-400,8/16 GB,Yes,microSD up to 32 GB (dedicated slot),No cellular connectivity,Android 4.1 (Jelly Bean),1 MP,1 GB RAM,No,No,No,Accelerometer,Available. Released 2013 January,microUSB 2.0
61,Asus,Zenpad 3 8.0 Z582KL,2017 May,Yes,Non-removable Li-Ion 4680 mAh battery (18 Wh),4.1| A2DP| LE| aptX,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Qualcomm MSM8976 Snapdragon 652,Black,6.9 mm thickness,IPS LCD capacitive touchscreen 16M colors,Adreno 510,32 GB,Yes with stereo speakers,microSD up to 256 GB,GSM / HSPA / LTE,Android 7.1 (Nougat),13 MP| autofocus| LED flash,3 GB RAM or 64 GB| 4 GB RAM,No,Micro-SIM,5 MP,Accelerometer| gyro| proximity| compass,Coming soon. Exp. release 2017 July,Type-C 1.0 reversible connector
62,Asus,Zenfone Go ZB690KG,2016 December,Yes,Non-removable Li-Ion 3480 mAh battery,4.0| A2DP,Quad-core,(undefined),Glacier Grey| Pearl White,188 x 101.4 x 8.9 mm (7.40 x 3.99 x 0.35 in),IPS LCD capacitive touchscreen 16M colors,(undefined),8 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA,Android 5.1 (Lollipop),5 MP or 8 MP| f/2.0| autofocus| LED flash,1 GB RAM,No,Dual SIM (Micro-SIM| dual stand-by),2 MP,Accelerometer| proximity| compass,Available. Released 2016 December,microUSB 2.0
63,Asus,Zenfone 3 Deluxe 5.5 ZS550KL,2016 October,Yes,Non-removable Li-Ion 3000 mAh battery,4.2| A2DP| EDR| LE,Octa-core 2.0 GHz Cortex-A53,Qualcomm MSM8953 Snapdragon 625,Shimmer Gold,151.5 x 76.7 x 7.8 mm (5.96 x 3.02 x 0.31 in),IPS LCD capacitive touchscreen 16M colors,Adreno 506,64 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0.1 (Marshmallow)| upgradable to 7.0 (Nougat),16 MP| f/2.0| laser/phase detection autofocus| OIS| dual-LED (dual tone) flash,4 GB RAM,FM radio,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by| dual active),8 MP| f/2.0| 1080p,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 October,2.0| Type-C 1.0 reversible connector| USB On-The-Go
64,Asus,Zenfone 3 Ultra ZU680KL,2016 May,Yes,Non-removable Li-Ion 4600 mAh battery,4.2| A2DP| EDR| LE,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Qualcomm MSM8976 Snapdragon 652,Glacier Silver| Titanium Gray| Metallic Pink,186.4 x 93.9 x 6.8 mm (7.34 x 3.70 x 0.27 in),IPS LCD capacitive touchscreen 16M colors,Adreno 510,32/64/128 GB,Yes dual speakers,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0.1 (Marshmallow),23 MP| f/2.0| laser/phase detection autofocus| OIS (4-axis)| dual-LED (dual tone) flash,3/4 GB RAM,FM radio,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),8 MP| f/2.0| 1080p,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 August,2.0| Type-C 1.0 reversible connector| USB On-The-Go
65,Asus,Zenfone Go ZB500KL,2016 October,Yes,Removable Li-Ion 2600 mAh battery,4.0| A2DP| EDR,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,Glacier Gray| Sheer Gold| Silver Blue| Glamour Red| Charcoal Black| Pearl White,143.7 x 70.9 x 11.3 mm (5.66 x 2.79 x 0.44 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,16 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0 (Marshmallow),13 MP| f/2.0| autofocus| LED flash,2 GB RAM,FM radio,Dual SIM (Dual stand-by| dual active),5 MP| f/2.0| autofocus,Accelerometer| proximity| compass,Available. Released 2016 October,microUSB 2.0| USB On-The-Go
66,Asus,PadFone mini,2013 December,Yes,Removable Li-Po 1500 mAh battery,4.0| A2DP,Quad-core 1.4 GHz Cortex-A7,Qualcomm MSM8226 Snapdragon 400,Titanium Black| Platinum White| Soft Pink,129.3 x 65.6 x 8.7 mm (5.09 x 2.58 x 0.34 in),Super IPS LCD capacitive touchscreen 16M colors,Adreno 305,16 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.3 (Jelly Bean),8 MP| autofocus| LED flash,1 GB RAM,To be confirmed,Dual SIM (Micro-SIM| dual stand-by),2 MP,Accelerometer| proximity| compass,Available. Released 2014 December,microUSB 2.0
67,Asus,M307,2006 March,No,Removable Li-Ion 700 mAh battery,No,(undefined),(undefined),White| Silver,88 x 43 x 22.9 mm (3.46 x 1.69 x 0.90 in),TFT 256K colors,(undefined),34 MB,No,miniSD,GSM,(undefined),2 MP| autofocus| LED flash,(undefined),No,Mini-SIM,No,(undefined),Discontinued,Yes
68,Asus,V75,2006 May,No,Removable Li-Ion 720 mAh battery,No,(undefined),(undefined),White| Blue,99.3 x 43 x 17.5 mm (3.91 x 1.69 x 0.69 in),TFT 260K colors,(undefined),32 MB,No,miniSD,GSM,(undefined),1.3 MP| LED flash,(undefined),FM radio,Mini-SIM,No,(undefined),Discontinued,1.1
69,Asus,M930,2008 February. Released 2008 September,No,Removable Li-Ion 1100 mAh battery,2.0| A2DP,450 MHz ARM 1136,TI OMAP 2431,Black,113 x 54 x 18.7 mm (4.45 x 2.13 x 0.74 in),TFT 65K colors,(undefined),256 MB,Yes,microSD (dedicated slot),GSM / HSPA,Microsoft Windows Mobile 6 Standard,2 MP,64 MB RAM,No,Mini-SIM,VGA videocall camera,(undefined),Discontinued,2
70,Asus,PadFone Infinity,2013 February,Yes,Non-removable Li-Po 2400 mAh battery,4.0| A2DP,Quad-core 1.7 GHz Krait,Qualcomm APQ8064T Snapdragon 600,Titanium Gray| Champagne Gold| Hot Pink,143.5 x 72.8 x 8.9 mm (5.65 x 2.87 x 0.35 in),Super IPS+ LCD capacitive touchscreen 16M colors,Adreno 320,32/64 GB,Yes,No,GSM / HSPA / LTE,Android 4.1.2 (Jelly Bean)| upgradable to 4.4.2 (KitKat),13 MP| autofocus| LED flash,2 GB RAM,FM radio,Nano-SIM,2 MP| 1080p@30fps,Accelerometer| gyro| proximity| compass,Available. Released 2013 April,microUSB 2.0 (SlimPort TV-out)| USB Host
71,Asus,Fonepad 7 (2014),2014 May,Yes,Non-removable Li-Po battery (15 Wh),4.0| A2DP,Dual-core 1.2 GHz,Intel Atom Z2520,Black| White| Red| Blue (Dual SIM)/ White (Single SIM),192 x 110 x 10.7 mm (7.56 x 4.33 x 0.42 in),Capacitive touchscreen 16M colors,PowerVR SGX544MP2,4/8 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.3 (Jelly Bean),2 MP| autofocus,1 GB RAM,No,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),VGA,Accelerometer| proximity,Available. Released 2014 May,microUSB 2.0
72,Asus,PadFone Infinity 2,2013 September,Yes,Non-removable Li-Po 2400 mAh battery,4.0| A2DP,Quad-core 2.2 GHz Krait 400,Qualcomm Snapdragon 800,Titanium Black| Platinum White,143.5 x 72.8 x 8.9 mm (5.65 x 2.87 x 0.35 in),Super IPS+ LCD capacitive touchscreen 16M colors,Adreno 330,16/32 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA / LTE,Android 4.2.2 (Jelly Bean)| upgradable to 5.0 (Lollipop),13 MP| autofocus| LED flash,2 GB RAM,FM radio,Nano-SIM,2 MP| 1080p@30fps,Accelerometer| gyro| proximity| compass,Available. Released 2013 October,microUSB 2.0 (SlimPort TV-out)| USB Host
73,Asus,Zenwatch 2 WI501Q,2015 September,No,Non-removable Li-Ion 400 mAh battery,4.1| LE,Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8926 Snapdragon 400,Gunmetal| Silver| Rose gold,49.6 x 40.7 x 10.9 mm (1.95 x 1.60 x 0.43 in),AMOLED capacitive touchscreen 16M colors,Adreno 305,4 GB,Yes,No,No cellular connectivity,Android Wear| planned upgrade to 2.0,(undefined),512 MB RAM,No,No,(undefined),Accelerometer,Available. Released 2015 September,No
74,Asus,Google Nexus 7 (2013),2013 July,Yes with stereo speakers,Accelerometer| gyro| proximity| compass,Wi-Fi 802.11 a/b/g/n| dual-band,Android 4.3 (Jelly Bean)| upgradable to 6.0 (Marshmallow),Quad-core 1.5 GHz Krait,Non-removable Li-Ion 3950 mAh battery,200 x 114 x 8.7 mm (7.87 x 4.49 x 0.34 in),Micro-SIM,Qualcomm Snapdragon S4Pro,No,1.2 MP,Adreno 320,GSM / HSPA / LTE,1200 x 1920 pixels (~323 ppi pixel density),2 GB RAM,16/32 GB,Yes,(undefined),5 MP| f/2.4| autofocus,microUSB 2.0 (SlimPort),Available. Released 2013 July,No
75,Asus,Zenpad S 8.0 Z580CA,2015 June,Yes,Non-removable Li-Po battery (15.2 Wh),4.1| LE,Quad-core,Intel Atom Z3560 or Z3580,Black| White,203.2 x 134.5 x 6.6 mm (8.0 x 5.30 x 0.26 in),IPS LCD capacitive touchscreen 16M colors,PowerVR G6430,16/32/64 GB,Yes with stereo speakers,microSD up to 256 GB (dedicated slot),No cellular connectivity,Android 5.0 (Lollipop),8 MP,2/4 GB RAM,No,No,5 MP,Accelerometer| compass,Available. Released 2015 August,Type-C 1.0 reversible connector
76,Asus,P535,2006 November,No,Removable Li-Ion 1300 mAh battery,2.0| A2DP,Intel XScale 520 MHz,(undefined),Silver| White,109 x 59 x 19 mm (4.29 x 2.32 x 0.75 in),TFT resistive touchscreen 65K colors,(undefined),256 MB,No,miniSD,GSM,Microsoft Windows Mobile 5.0 PocketPC,2 MP| autofocus| LED flash,64 MB RAM,No,Mini-SIM,No,(undefined),Discontinued,1.1
77,Asus,Zenfone 5 Lite A502CG,2014 November,Yes,Non-removable Li-Po 2500 mAh battery,4.0| A2DP| EDR,Dual-core 1.2 GHz,Intel Atom Z2520,Charcoal Black| Pearl White| Cherry Red,148.2 x 72.8 x 10.8 mm (5.83 x 2.87 x 0.43 in),IPS LCD capacitive touchscreen 16M colors,PowerVR SGX544MP2,(undefined),Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.4.2 (KitKat),8 MP| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),VGA,Accelerometer| proximity| compass,Available. Released 2014 November,microUSB 2.0
78,Asus,Zenfone 2 Laser ZE500KL,2015 August,Yes,Removable Li-Po 2400 mAh battery,4.0| A2DP| EDR,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,Black/Ceramic White/Silver/Purple/Aqua Blue/Sheer Gold/Glamour Red,143.7 x 71.5 x 10.5 mm (5.66 x 2.81 x 0.41 in),Capacitive touchscreen 16M colors,Adreno 306,8/16 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 5.0 (Lollipop)| upgradable to 6.0 (Marshmallow),13 MP| f/2.0| laser autofocus| dual-LED (dual tone) flash,2 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),5 MP| f/2.0| autofocus,Accelerometer| proximity| compass,Available. Released 2015 August,microUSB 2.0
79,Asus,Zenfone 3 ZE520KL,2016 July,Yes,Non-removable Li-Ion 2600 mAh battery,4.2| A2DP| EDR| LE,Octa-core 2.0 GHz Cortex-A53,Qualcomm MSM8953 Snapdragon 625,Sapphire Black| Moonlight White| Shimmer Gold,146.9 x 74 x 7.7 mm (5.78 x 2.91 x 0.30 in),Super IPS+ capacitive touchscreen 16M colors,Adreno 506,32 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0.1 (Marshmallow)| upgradable to 7.0 (Nougat),16 MP| f/2.0| laser/phase detection autofocus| OIS (4-axis)| dual-LED (dual tone) flash,3 GB RAM or 64 GB| 4 GB RAM,FM radio| RDS,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),8 MP| f/2.0| 1080p,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 August,2.0| Type-C 1.0 reversible connector
80,Asus,Fonepad 7 FE171CG,2015 January,Yes,Non-removable Li-Po battery (15 Wh),4.0| A2DP,Dual-core 1.2 GHz,Intel Atom Z2520,Black| White| Gold| Red,196 x 110.6 x 7.9 mm (7.72 x 4.35 x 0.31 in),IPS LCD capacitive touchscreen 16M colors,PowerVR SGX544MP2,8/16 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.4 (KitKat),5 MP or 8 MP| autofocus| LED flash,1/2 GB RAM,No,Dual SIM (Micro-SIM| dual stand-by),2 MP| 720p,Accelerometer,Available. Released 2015 January,microUSB 2.0
81,Asus,Zenpad Z8,2016 June,Yes,Non-removable Li-Ion 4680 mAh battery,Yes,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A72),Qualcomm MSM8956 Snapdragon 650,Black,205.2 mm x 136.4 mm x X mm x,IPS LCD capacitive touchscreen 16M colors,(undefined),16 GB,Yes dual speakers,microSD up to 256 GB (dedicated slot),LTE,Android 6.0 (Marshmallow),8 MP,2 GB RAM,No,Micro-SIM (built-in),Yes,Accelerometer,Available. Released 2016 June,microUSB 2.0
82,Asus,Transformer Pad Infinity 700 LTE,2012 February,Yes,Non-removable Li-Po battery (25 Wh),3.0| A2DP| EDR,Dual-core 1.5 GHz Krait,Qualcomm MSM8960 Snapdragon S4 Plus,Amethyst Gray| Champagne Gold,262.9 x 180.8 x 8.4 mm (10.35 x 7.12 x 0.33 in),Super IPS+ LCD capacitive touchscreen 16M colors,Adreno 225,32/64 GB,Yes with stereo speakers,microSD up to 32 GB (dedicated slot),GSM / HSPA / LTE,Android 4.0 (Ice Cream Sandwich)| upgradable to 4.2.1 (Jelly Bean),8 MP| autofocus| LED flash,1 GB RAM,No,Mini-SIM,2 MP,Accelerometer| gyro| compass,Available. Released 2012 Q4,2
